instruction,response
What file formats do you support?,"We support CSV, JSON, and Excel files up to 50MB."
Can I cancel my subscription?,"Yes, you can cancel anytime from your account settings."
How do I upload a dataset?,Go to the Data tab in your project and click Upload. Drag and drop a file or click Select File to choose one.
How big can my dataset be?,Free accounts can upload up to 50MB per file. Paid plans support up to 5GB per file.
Does the product work offline?,"The desktop app supports limited offline mode for viewing. Editing and syncing require an internet connection."
How do I share a project?,"Open the project, click Share in the top right, and add collaborators by email or generate a public link."
Can I work with my team in real time?,"Yes, all projects support real-time collaboration with presence indicators and live cursors."
How do I duplicate a project?,"Open the project list, hover over the project, click the menu icon, and select Duplicate."
Can I download my project as a file?,"Yes, click Export in the top right and choose your preferred format: PDF, JSON, or ZIP archive."
What integrations are available?,"We integrate with Slack, Google Drive, Notion, Zapier, GitHub, and over 50 other tools via our integrations page."
How do I connect to Slack?,"Go to Integrations, click Connect next to Slack, authorize the workspace, and choose which channels to use."
How do I connect to Google Drive?,"Open Integrations, click Connect Google Drive, sign in with your Google account, and select folders to sync."
What is the maximum number of collaborators?,"Free plans allow up to 3 collaborators. Pro: 10, Business: 50, Enterprise: unlimited collaborators per workspace."
How do I rename a project?,"Open the project, click the title at the top, type a new name, and press Enter to save."
How do I move a project to another workspace?,"Open the project menu and select Move to Workspace, then choose the destination workspace from the list."
Can I restore a deleted project?,"Yes, deleted projects stay in Trash for 30 days. Open Trash from the sidebar and click Restore on the project."
How do I add tags to a project?,"In the project settings panel, click Add Tag, type a tag name, and press Enter. You can add up to 10 tags."
What keyboard shortcuts are available?,"Press ? anywhere in the app to see all shortcuts. Common ones: Cmd+K to search, Cmd+N for new project."
How do I change the theme?,"Open Settings, select Appearance, and choose Light, Dark, or System to match your operating system."
Does the product support dark mode?,"Yes, dark mode is supported across the web app, desktop apps, and mobile apps."
Can I customize the dashboard?,"Yes, you can add, remove, and rearrange widgets on your dashboard from the Edit Layout button."
How do I create a template?,"Open any project, click Save as Template, give it a name and description, and choose who can use it."
Where do I find templates?,"Click New Project and select From Template. Browse community templates or your saved templates."
How do I import data from Excel?,"Click Import, select your Excel file, choose the sheet, and map columns to the project's fields."
Can I import data from Notion?,"Yes, connect Notion under Integrations and use Import to copy databases into a new project."
How do I export to PDF?,"Click Export in the top right, select PDF, choose page size and orientation, and click Download."
What is the maximum file upload size?,"50MB on Free, 500MB on Pro, 2GB on Business, and 5GB on Enterprise per individual file."
How do I search across all my projects?,"Press Cmd+K (Ctrl+K on Windows) to open global search and type to find projects, files, and items."
Can I search inside file contents?,"Yes, Pro and higher plans index document contents. The badge in search results shows where the match was found."
How do I set up notifications?,"Go to Settings, then Notifications, and choose which events trigger email, push, or in-app alerts."
Can I mute notifications during off-hours?,"Yes, set quiet hours under Settings, then Notifications, then Quiet Hours."
How do I assign a task to a teammate?,"Open the task, click the Assignee field, and select a team member from the list."
Can I set deadlines on tasks?,"Yes, click the Due Date field on a task and pick a date and optional time from the calendar."
How do I view tasks in a calendar?,"Switch to Calendar view from the view selector at the top of any project with tasks."
Can I see all my tasks across projects?,"Yes, open My Tasks from the sidebar to see every task assigned to you across all projects."
How do I create a recurring task?,"Open the task, click Repeat, choose daily, weekly, monthly, or custom, and confirm the schedule."
How do I attach a file to a task?,"Click the paperclip icon on the task, drag in a file, or paste a URL to link external content."
Can I comment on tasks?,"Yes, scroll to the comments section at the bottom of any task. Type @ to mention a teammate."
How do I receive a daily summary?,"Enable Daily Digest under Notifications, choose a delivery time, and select which projects to include."
How do I rotate my API key?,"Open API Keys in Settings, click Rotate next to the key, and update your applications with the new key."
What languages does the AI assistant support?,"The AI assistant works in English, German, French, Spanish, Italian, Portuguese, Japanese, and Chinese."
How do I clear my chat history?,"Open the chat panel, click the menu icon, and select Clear History. This action cannot be undone."
Can I customize AI responses?,"Yes, on Business and Enterprise plans you can set a custom system prompt under Settings, AI Configuration."
Is my data used to train your models?,"No, customer data is never used to train AI models. You can verify this in our Privacy Policy."
How do I report incorrect AI output?,"Click the thumbs-down icon next to any AI response and add an optional note. Reports help us improve quality."
What happens to my work when I go offline?,"Changes are queued locally and synced automatically the next time you connect to the internet."
How do I find the version history of a file?,"Open the file, click the clock icon in the top right, and browse previous versions or restore one."
Can I see who edited a file last?,"Yes, the file header shows the last editor's name and timestamp. Hover for the full edit history."
How do I lock a project from edits?,"Open project settings, scroll to Permissions, and toggle Lock Project. Only admins can unlock it."
Where can I leave product feedback?,Use the Feedback button in the bottom right of any page. We read every submission and reply to most within a week.
