instruction,response
What are your support hours?,"Our support team is available Monday to Friday, 9am to 6pm CET."
How do I reset my password?,Click Forgot Password on the login page and follow the email instructions.
Where can I find my invoices?,"You can find all invoices under Account Settings, then Billing, then Invoices."
How do I contact customer support?,"You can reach us at support@company.com or via the in-app chat, Monday to Friday 9am-6pm CET."
What payment methods do you accept?,"We accept all major credit cards, PayPal, and SEPA bank transfers for European customers."
How do I upgrade my plan?,"Go to Account Settings, select Billing, and click Upgrade Plan to choose a new tier."
How do I downgrade my plan?,"Go to Account Settings, select Billing, and click Change Plan. The new plan starts at the next billing cycle."
Can I get a refund?,Refunds are issued within 14 days of purchase if you have not used more than 10% of your plan's quota.
How do I cancel my account?,Go to Account Settings and click Cancel Account at the bottom of the page. Your data is kept for 30 days.
Do you offer student discounts?,"Yes, we offer a 50% student discount. Email education@company.com from your school address to apply."
Where are your offices located?,"Our headquarters are in Berlin, with additional offices in San Francisco and Singapore."
Do you have an API?,"Yes, we offer a REST API. You can find the full documentation at docs.company.com/api."
How do I generate an API key?,"Go to Account Settings, select API Keys, and click Generate New Key. Copy and store it securely."
What is your uptime SLA?,"Our paid plans include a 99.9% uptime SLA. Service credits are issued if we fall below this threshold."
How do I invite team members?,"Open the Team page from the sidebar, click Invite Member, and enter the email address."
Can I change my email address?,"Yes, go to Account Settings, click Edit next to your email, and confirm the change via the verification email."
How is my data secured?,"All data is encrypted at rest with AES-256 and in transit with TLS 1.3. We are SOC 2 Type II certified."
Do you offer single sign-on?,"Yes, SSO via SAML 2.0 and OIDC is available on our Business and Enterprise plans."
How long does onboarding take?,"Most customers are fully set up within one business day. Enterprise onboarding includes a 30-minute kickoff call."
Where can I find product tutorials?,"Visit our Help Center at help.company.com, or the Tutorials section in your dashboard."
What languages do you support?,"The product is available in English, German, French, Spanish, Italian, Portuguese, and Japanese."
How do I export my data?,"Go to Account Settings, select Data, and click Export. You will receive a download link by email within 24 hours."
Do you sign DPAs?,"Yes, we sign Data Processing Agreements for all paid plans. Email legal@company.com to request one."
Are you GDPR compliant?,"Yes, we are fully GDPR compliant. Our processing terms are available at company.com/legal/gdpr."
Where is my data hosted?,"Data is hosted in AWS regions in Frankfurt (eu-central-1) and Virginia (us-east-1), based on your account region."
Can I migrate from another provider?,"Yes, we offer free migration assistance. Contact migration@company.com to schedule a call with our team."
How long is the free trial?,"Our free trial is 14 days, no credit card required. You can extend it once for another 14 days from your dashboard."
What happens after the trial ends?,"Your account switches to the Free tier with limited features. Your data is preserved and you can upgrade anytime."
Is there a setup fee?,"No, there are no setup fees on any of our plans, including Enterprise."
Do you have a mobile app?,"Yes, our mobile app is available on iOS and Android. Search for Company in the App Store or Google Play."
How do I change the workspace owner?,"Only the current owner can transfer ownership. Go to Team Settings and click Transfer Ownership next to a member."
What is your data retention policy?,Active accounts retain data indefinitely. Cancelled accounts are kept for 30 days then permanently deleted.
Can I have multiple workspaces?,"Yes, you can create up to 5 workspaces on the Pro plan and unlimited workspaces on Business and above."
How do I report a bug?,"Use the Help menu in the app and select Report a Bug, or email bugs@company.com with steps to reproduce."
Do you offer phone support?,"Phone support is available on the Enterprise plan. Pro and Business customers get priority email and chat support."
What browsers are supported?,"We support the latest two versions of Chrome, Firefox, Safari, and Edge. Internet Explorer is not supported."
How do I enable two-factor authentication?,"Go to Account Settings, select Security, and click Enable 2FA. We support TOTP apps and SMS."
What is your service status page?,"You can check real-time status at status.company.com. Subscribe to receive incident notifications by email or Slack."
Do you have webhooks?,"Yes, webhooks are available on Business and Enterprise plans. Configure them under Settings, then Integrations."
What is the rate limit on the API?,"Free plans get 60 requests per minute. Pro: 600 rpm. Business: 6000 rpm. Enterprise: custom limits."
Can I white-label the product?,"White-labeling is available on the Enterprise plan and includes custom domain, logo, and email branding."
How do I report a security issue?,"Email security@company.com with details. We follow responsible disclosure and offer rewards for valid reports."
Do you have a roadmap?,"Yes, our public roadmap is at company.com/roadmap. Customers on Business+ can request feature priority."
Can I pay annually?,"Yes, annual billing saves 20% over monthly. Switch under Account Settings, Billing, Change Billing Cycle."
Is there a non-profit discount?,"Yes, we offer a 30% discount for registered non-profits. Email nonprofit@company.com with your 501(c)(3) or equivalent."
How do I delete my account permanently?,"Cancel your subscription, then email privacy@company.com from your account email to request immediate deletion."
What happens if my payment fails?,"We retry the payment over 7 days. If it still fails, the account moves to read-only until billing is updated."
Can I have custom contracts?,"Yes, custom contracts and MSAs are available on the Enterprise plan. Contact sales@company.com to start the process."
How do I reactivate a cancelled account?,Log in within 30 days of cancellation and click Reactivate. After 30 days the account and data are permanently deleted.
Do you support audit logs?,"Yes, audit logs are available on Business and Enterprise plans, with 90-day and 1-year retention respectively."
