text,category
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
"I was charged twice this month",billing
"Login button does nothing when I click it",technical
"Please delete my account permanently",account
"How long does standard shipping take",shipping
"I changed my mind about my purchase",refund
"When will I be charged next",billing
"Search results are not showing up",technical
"How do I update my company name",account
"Update on order delivery date please",shipping
"I was overcharged please refund",refund
