text,sentiment
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
"Vacation was incredible, already planning the next one",positive
"Coffee shop got my order completely wrong",negative
"Finally finished the book and it was beautiful",positive
"Awful weather is ruining my weekend plans",negative
"Made my favorite recipe and it turned out perfect",positive
"Stuck in a meeting that should have been an email",negative
"Just had the best coffee ever this morning",positive
"Lost my wallet and my whole day is ruined",negative
"Amazing sunset tonight, feeling grateful",positive
"Worst customer service experience of my life",negative
